Nombre,Enlace,Categoria,CantidadArticulos
Journal of Computer Science,https://www.scimagojr.com/journalsearch.php?q=11700154336&tip=sid&clean=0,Q4,263
Ingenierie des Systemes d'Information,https://www.scimagojr.com/journalsearch.php?q=21100202935&tip=sid&clean=0,Q4,107
Moshi Shibie yu Rengong Zhineng/Pattern Recognition and Artificial Intelligence,http://manu46.magtech.com.cn/Jweb_prai/EN/volumn/home.shtml,Q4,358
"International Journal of Parallel, Emergent and Distributed Systems",http://www.informaworld.com/smpp/title~content=t713729127~db=all,Q4,169
"Journal of Automation, Mobile Robotics and Intelligent Systems",http://www.jamris.org/,Q4,101
Journal of Mathematics and the Arts,https://www.scimagojr.com/journalsearch.php?q=11600153445&tip=sid&clean=0,Q4,42
Aloma,https://www.scimagojr.com/journalsearch.php?q=21100898825&tip=sid&clean=0,Q4,11
International Journal of Computer Networks and Communications,https://www.scimagojr.com/journalsearch.php?q=21100836264&tip=sid&clean=0,Q4,148
Journal of Information Hiding and Multimedia Signal Processing,https://www.scimagojr.com/journalsearch.php?q=21100223313&tip=sid&clean=0,Q4,424
"Pixel-Bit, Revista de Medios y Educacion",https://www.scimagojr.com/journalsearch.php?q=21100900141&tip=sid&clean=0,Q4,33
Jisuanji Fuzhu Sheji Yu Tuxingxue Xuebao/Journal of Computer-Aided Design and Computer Graphics,http://english.ict.cas.cn/sp/200908/t20090819_33259.html,Q4,788
Far East Journal of Electronics and Communications (discontinued),http://www.pphmj.com/journals/fjec.htm,Q4,312
International Journal of Autonomous and Adaptive Communications Systems,https://www.scimagojr.com/journalsearch.php?q=20400195011&tip=sid&clean=0,Q4,64
Qinghua Daxue Xuebao/Journal of Tsinghua University,http://en.cnki.com.cn/Journal_en/C-C000-QHXB.htm,Q4,592
i-com,https://www.scimagojr.com/journalsearch.php?q=21100897522&tip=sid&clean=0,Q4,24
International Journal of E-Services and Mobile Applications,https://www.igi-global.com/journal/international-journal-services-mobile-applications/1114,Q4,34
Journal of WSCG,https://www.scimagojr.com/journalsearch.php?q=19400157203&tip=sid&clean=0,Q4,47
Matematiche,https://lematematiche.dmi.unict.it/index.php/lematematiche,Q4,51
International Journal of Agricultural and Environmental Information Systems,https://www.igi-global.com/journal/international-journal-agricultural-environmental-information/1160,Q4,55
International Journal of Electronic Business,https://www.inderscience.com/jhome.php?jcode=ijeb,Q4,34
Journal of Microelectronics and Electronic Packaging,http://www.imaps.org/jmep/index.htm,Q4,43
Malaysian Journal of Computer Science,https://ejournal.um.edu.my/index.php/MJCS/,Q4,67
International Journal of High Speed Electronics and Systems,http://www.worldscinet.com/ijhses/ijhses.shtml,Q4,83
Shenzhen Daxue Xuebao (Ligong Ban)/Journal of Shenzhen University Science and Engineering,https://www.scimagojr.com/journalsearch.php?q=4700152467&tip=sid&clean=0,Q4,272
Zhongguo Kexue Jishu Kexue/Scientia Sinica Technologica,http://engine.scichina.com/publisher/scp/journal/SST?slug=abstracts,Q4,98
Human IT,https://www.scimagojr.com/journalsearch.php?q=56074&tip=sid&clean=0,Q4,16
International Journal of Digital Crime and Forensics,https://www.scimagojr.com/journalsearch.php?q=19700186847&tip=sid&clean=0,Q4,75
International Journal of Wireless and Mobile Computing,http://www.inderscience.com/browse/index.php?journalID=46,Q4,267
Journal of Educational Media and Library Sciences,http://joemls.dils.tku.edu.tw/index.php?Language=message_En.php,Q4,38
