Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Egyptian Journal of Medical Human Genetics,0.251 ,Q4,14,37,193,https://www.scimagojr.com/journalsearch.php?q=19700175117&tip=sid&clean=0,1110-8630/2090-2441,C
Journal of Molecular Catalysis,0.251 ,Q4,15,52,192,https://www.scimagojr.com/journalsearch.php?q=21100323200&tip=sid&clean=0,1001-3555,C
Case Reports in Immunology,0.250 ,Q4,2,0,6,https://www.hindawi.com/journals/crii/,Sin informacion,No
Journal of the Kansas Entomological Society,0.249 ,Q4,32,23,90,https://www.scimagojr.com/journalsearch.php?q=30280&tip=sid&clean=0,0022-8567/1937-2353,C
Journal of Chemical Biology,0.248 ,Q4,22,0,26,http://www.springer.com/chemistry/physical+chemistry/journal/12154,Sin informacion,No
Zeitschrift fur Rheumatologie,0.248 ,Q4,37,171,442,http://www.springer.com/medicine/internal/journal/393,0340-1855/1435-1250,C
Contributions to Geophysics and Geodesy,0.247 ,Q4,17,27,51,https://journal.geo.sav.sk/cgg/index,1335-2806,C
Journal of Allied Health,0.247 ,Q4,32,69,181,http://www.asahp.org/journal_ah.htm,0090-7421/1945-404X,C
Rare Tumors,0.247 ,Q4,15,20,99,https://www.scimagojr.com/journalsearch.php?q=19700175135&tip=sid&clean=0,2036-3605/2036-3613,C
International Journal of Biomedical Engineering and Technology,0.245 ,Q4,17,66,199,https://www.inderscience.com/jhome.php?jcode=ijbet,1752-6418/1752-6426,C
Bulletin of the Geological Society of Finland,0.244 ,Q4,22,8,32,http://www.geologinenseura.fi/bulletin/index.html,0367-5211/1799-4632,B
First Break,0.244 ,Q4,38,86,191,http://www3.interscience.wiley.com/journal/119485133/home,0263-5046/1365-2397,C
"Gesundheitswesen, Supplement",0.244 ,Q4,8,0,36,https://www.scimagojr.com/journalsearch.php?q=57168&tip=sid&clean=0,Sin informacion,No
Hiroshima Mathematical Journal,0.244 ,Q4,11,16,60,https://www.scimagojr.com/journalsearch.php?q=19300156905&tip=sid&clean=0,0018-2079,C
Mini-Reviews in Organic Chemistry,0.244 ,Q4,37,56,129,https://benthamscience.com/journals/mini-reviews-in-organic-chemistry/,Sin informacion,No
Estudios Geologicos,0.243 ,Q4,25,36,43,http://estudiosgeol.revistas.csic.es/index.php/estudiosgeol,Sin informacion,No
Ethiopian Journal of Health Development,0.243 ,Q4,17,37,110,https://www.ejhd.org/index.php/ejhd,1021-6790,C
Journal of the Entomological Research Society,0.243 ,Q4,12,30,96,http://www.entomol.org/journal/index.php?journal=JERS,1302-0250,C
Journal of Discrete Mathematical Sciences and Cryptography,0.242 ,Q4,12,155,429,https://www.scimagojr.com/journalsearch.php?q=19700186892&tip=sid&clean=0,0972-0529,C
Northwestern Geology,0.242 ,Q4,19,49,267,http://www.ceps.com.tw/ec/ecJnlIntro.aspx?Jnliid=1138,1009-6248,C
Przeglad Geologiczny,0.242 ,Q4,29,124,358,http://www.pgi.gov.pl/index.php?option=displaypage&Itemid=319&op=page&SubMenu=,0033-2151,C
Concepts in Magnetic Resonance Part A: Bridging Education and Research,0.241 ,Q4,46,0,59,http://www3.interscience.wiley.com/journal/122684470/grouphome/home.html,Sin informacion,No
Journal of Probability and Statistics,0.241 ,Q4,13,27,58,https://www.scimagojr.com/journalsearch.php?q=21100199307&tip=sid&clean=0,Sin informacion,No
LC-GC North America,0.241 ,Q4,35,7,255,http://chromatographyonline.findanalytichem.com/lcgc/issue/issueList.jsp?id=21,Sin informacion,No
Analytical and Bioanalytical Electrochemistry,0.240 ,Q4,15,120,281,http://www.abechem.com/,2008-4226,C
International Journal of Modern Physics B,0.240 ,Q4,71,470,1283,http://www.worldscinet.com/ijmpb/ijmpb.shtml,0217-9792/1793-6578,C
HIV Infection and Immunosuppressive Disorders,0.239 ,Q4,4,56,65,https://hiv.bmoc-spb.ru/jour#,2077-9828/2078-1792,C
Macroheterocycles,0.239 ,Q4,16,54,197,https://www.scimagojr.com/journalsearch.php?q=20300195027&tip=sid&clean=0,1998-9539,C
Archives of Rheumatology,0.238 ,Q4,10,72,221,https://www.archivesofrheumatology.org/,1309-0283/2148-5046,C
Archivos de la Sociedad Espanola de Oftalmologia,0.238 ,Q4,22,185,514,http://scielo.isciii.es/scielo.php?script=sci_serial&pid=0365-6691&lng=en&nrm=iso,0365-6691/1989-7286,C
Journal of the Iranian Statistical Society,0.238 ,Q4,5,20,40,https://www.scimagojr.com/journalsearch.php?q=21100200205&tip=sid&clean=0,1726-4057,C
Case Reports in Neurology,0.236 ,Q4,13,61,154,https://www.karger.com/Journal/Home/238704,1662-680X,C
Current Medical Mycology,0.236 ,Q4,3,34,28,https://www.scimagojr.com/journalsearch.php?q=21100899293&tip=sid&clean=0,2423-3420/2423-3439,C
International Electronic Journal of Algebra,0.236 ,Q4,3,31,69,http://www.ieja.net/,1306-6048,C
International Journal of Health Promotion and Education,0.236 ,Q4,14,51,111,http://www.ihpe.org.uk/jour/index.htm,1463-5240,C
Neutrosophic Sets and Systems,0.236 ,Q4,6,45,28,http://fs.unm.edu/NSS/,2331-6055/2331-608X,C
Generations,0.235 ,Q4,33,63,204,https://www.scimagojr.com/journalsearch.php?q=29022&tip=sid&clean=0,0738-7806,C
Journal of Singularities,0.235 ,Q4,8,10,62,https://www.scimagojr.com/journalsearch.php?q=21100203314&tip=sid&clean=0,1949-2006,C
Odonatologica,0.235 ,Q4,23,8,63,http://odonatologica.eiu.edu/,0375-0183,C
"Phosphorus, Sulfur and Silicon and the Related Elements",0.235 ,Q4,41,234,673,http://www.informaworld.com/smpp/title~content=t713618290~db=all,Sin informacion,No
Advances in Physical Chemistry,0.234 ,Q4,16,0,24,https://www.hindawi.com/journals/apc/contents/,1687-7985/1687-7993,C
Current Proteomics,0.234 ,Q4,22,46,117,https://benthamscience.com/journals/current-proteomics/,1570-1646/1875-6247,C
Journal of Optics (India),0.234 ,Q4,14,82,193,https://www.springer.com/journal/12596,Sin informacion,No
Tropical Biomedicine,0.234 ,Q4,33,110,339,http://msptm.org/tropical-biomedicine/,0127-5720,C
Asian Journal of Transfusion Science,0.233 ,Q4,19,34,130,https://www.scimagojr.com/journalsearch.php?q=21100243808&tip=sid&clean=0,0973-6247/1998-3565,C
Heterocyclic Communications,0.233 ,Q4,23,25,181,http://hetcomm.tripod.com/ed_board.html,0793-0283/2191-0197,B
Immunology and Immunogenetics Insights,0.233 ,Q4,6,1,4,https://www.scimagojr.com/journalsearch.php?q=21100203321&tip=sid&clean=0,1178-6345,C
Iranian Journal of Medical Physics,0.233 ,Q4,7,46,101,http://ijmp.mums.ac.ir/,1735-160X/1735-7241,C
Journal of Brachial Plexus and Peripheral Nerve Injury,0.233 ,Q4,19,7,16,http://www.jbppni.com/,1749-7221,C
Journal of Mechanics in Medicine and Biology,0.233 ,Q4,27,128,413,http://www.worldscinet.com/jmmb/jmmb.shtml,0219-5194/1793-6810,C
Northeastern Naturalist,0.233 ,Q4,27,71,192,http://www.bioone.org/page/nena/aims,1092-6194/1938-5307,C
Analitika i Kontrol,0.232 ,Q4,4,41,99,https://journals.urfu.ru/index.php/analitika,2073-1442/2073-1450,C
Journal of Complex Analysis,0.232 ,Q4,5,1,25,https://www.hindawi.com/journals/jca/,2314-4963/2314-4971,C
Optica Applicata,0.232 ,Q4,26,44,169,http://www.if.pwr.wroc.pl/~optappl/about.php,0078-5466/1899-7015,C
Polarforschung,0.232 ,Q4,23,0,48,https://www.scimagojr.com/journalsearch.php?q=23317&tip=sid&clean=0,0032-2490/2190-1090,C
Progress In Electromagnetics Research M,0.232 ,Q4,29,216,641,http://www.jpier.org/PIERM/,1937-8726,C
Volumina Jurassica,0.232 ,Q4,2,0,7,https://www.scimagojr.com/journalsearch.php?q=21100898997&tip=sid&clean=0,1896-7876,C
Mitochondrial DNA Part B: Resources,0.231 ,Q4,11,1779,1411,https://www.tandfonline.com/loi/tmdn20,Sin informacion,No
Radiation and Risk,0.231 ,Q4,4,44,121,http://www.radiation-and-risk.com/en/,0131-3878/2412-950X,C
